#Fluorescent yield data from Kaastra and Mewe 1993A&AS...97..443K
label    z  state  s   delta  il    E      omega
  248   13    5    1     1    5      34.7   0.2129
  249   13    5    1     1    6      34.7   0.3193
  250   13    5    2     0    5      40.1   0.4000
  251   13    5    2     0    6      40.1   0.6000
  252   13    6    1     0    1    1547.4   0.0249
  253   13    6    1     0    2    1547.4   0.0249
  254   13    6    1     1    5      16.4   0.3318
  255   13    6    1     1    6      16.4   0.3318
  256   13    6    2     0    5      34.7   0.5000
  257   13    6    2     0    6      34.7   0.5000
  258   13    7    1     0    1    1542.8   0.0379
  259   13    7    1     0    2    1542.8   0.0189
  260   13    7    1     1    5      17.9   0.5847
  261   13    7    1     1    6      61.1   0.2923
  262   13    7    2     0    5      16.4   0.6667
  263   13    7    2     0    6      16.4   0.3333
  264   13    8    1     0    1    1545.3   0.0650
  265   13    8    1     1    5      19.3   1.2795
  266   13    8    2     0    5      17.9   1.0000
  267   13    9    1     0    1    1546.0   0.0484
  268   13    9    1     1    5      68.4   0.6160
  269   13    9    2     0    5      19.3   1.0000
  270   14    1    1     0    1    1739.4   0.0140
  271   14    1    1     0    2    1739.8   0.0280
  272   14    1    1     0    3    1835.7   0.0010
  273   14    1    1     3    5      49.4   0.0001
  274   14    1    1     3    6      50.0   0.0002
  275   14    1    1     1    9      95.7   0.0001
  276   14    1    1     2    9     100.1   0.0001
  277   14    1    1     3    9     103.5   0.0284
  278   14    1    1     0   12      90.5   0.0001
  279   14    1    1     1   12      95.1   0.0011
  280   14    1    1     2   12      99.5   0.0078
  281   14    1    1     3   12     102.9   0.2402
  282   14    1    1     0   16       5.3   0.0001
  283   14    1    1     1   16       6.6   0.0478
  284   14    1    1     2   16      17.2   0.0360
  285   14    1    1     3   16      28.8   0.1138
  286   14    1    2     1    9      95.7   0.0001
  287   14    1    2     1   12      95.1   0.0035
  288   14    1    2     1   16       6.6   0.0435
  289   14    1    2     2   16      17.2   0.4480
  290   14    1    3     0    9      91.2   0.0002
  291   14    1    3     0   16       5.3   0.0002
  292   14    1    3     1   16       6.6   0.5986
  293   14    1    4     0   12      90.5   0.0039
  294   14    1    4     0   16       5.3   0.0039
  295   14    1    4     1   16       6.6   1.3141
  296   14    1    5     0   16       5.3   1.0000
  297   14    2    1     0    1    1753.5   0.0142
  298   14    2    1     0    2    1753.9   0.0285
  299   14    2    1     0    3    1855.7   0.0005
  300   14    2    1     2    5      49.4   0.0005
  301   14    2    1     2    6      50.0   0.0010
  302   14    2    1     3    6      50.4   0.0001
  303   14    2    1     1    9     100.1   0.0003
  304   14    2    1     2    9     103.5   0.0595
  305   14    2    1     3    9     122.3   0.0141
  306   14    2    1     0   12      95.1   0.0002
  307   14    2    1     1   12      99.5   0.0019
  308   14    2    1     2   12     102.9   0.5542
  309   14    2    1     3   12     121.7   0.0181
  310   14    2    1     0   16       6.6   0.0002
  311   14    2    1     1   16      17.2   0.0229
  312   14    2    1     2   16      28.8   0.2219
  313   14    2    2     0    6      51.0   0.0001
  314   14    2    2     1    9     100.1   0.0007
  315   14    2    2     1   12      99.5   0.0127
  316   14    2    2     1   16      17.2   0.0251
  317   14    2    3     0    9      95.7   0.0007
  318   14    2    3     0   16       6.6   0.0007
  319   14    2    3     1   16      17.2   0.0853
  320   14    2    4     0   12      95.1   0.0059
  321   14    2    4     0   16       6.6   0.0059
  322   14    2    4     1   16      17.2   0.7223
  323   14    2    5     0   16       6.6   1.0000
  324   14    3    1     0    1    1767.3   0.0145
  325   14    3    1     0    2    1768.1   0.0290
  326   14    3    1     1    5      49.4   0.0036
  327   14    3    1     2    5      49.8   0.0132
  328   14    3    1     1    6      50.0   0.0072
  329   14    3    1     2    6      50.4   0.0264
  330   14    3    1     0    9     100.1   0.0001
  331   14    3    1     1    9     103.5   0.0128
  332   14    3    1     0   12      99.5   0.0002
  333   14    3    1     1   12     102.9   0.0256
  334   14    3    2     0    6      50.0   0.0001
  335   14    3    2     1    9     103.5   0.3381
  336   14    3    2     1   12     102.9   0.6499
  337   14    3    3     0    9     100.1   0.0081
  338   14    3    4     0   12      99.5   0.0081
  339   14    4    1     0    1    1781.6   0.0147
  340   14    4    1     0    2    1782.0   0.0295
  341   14    4    1     1    5      49.8   0.1251
  342   14    4    1     1    6      50.4   0.2502
  343   14    4    1     0    9     103.5   0.0147
  344   14    4    1     1    9     122.3   0.3137
  345   14    4    1     0   12     102.9   0.0295
  346   14    4    1     1   12     121.7   0.6275
  347   14    4    2     0    5      49.4   0.3333
  348   14    4    2     0    6      50.0   0.6667
  349   14    4    2     0    9     103.5   0.3333
  350   14    4    2     0   12     102.9   0.6667
  351   14    4    3     0    9     103.5   1.0000
  352   14    4    4     0   12     102.9   1.0000
  353   14    5    1     0    1    1791.4   0.0150
  354   14    5    1     0    2    1792.3   0.0299
  355   14    5    1     1    5      45.0   0.1254
  356   14    5    1     1    6      45.0   0.2508
  357   14    5    2     0    5      49.8   0.3333
  358   14    5    2     0    6      50.4   0.6667
  359   14    6    1     0    1    1803.8   0.0203
  360   14    6    1     0    2    1803.8   0.0304
  361   14    6    1     1    5      38.7   0.1776
  362   14    6    1     1    6      38.7   0.2664
  363   14    6    2     0    5      45.0   0.4000
  364   14    6    2     0    6      45.0   0.6000
  365   14    7    1     0    1    1812.6   0.0293
  366   14    7    1     0    2    1812.6   0.0293
  367   14    7    1     1    5      18.2   0.2723
  368   14    7    1     1    6      18.2   0.2723
  369   14    7    2     0    5      38.7   0.5000
  370   14    7    2     0    6      38.7   0.5000
  371   14    8    1     0    1    1805.9   0.0466
  372   14    8    1     0    2    1805.9   0.0233
  373   14    8    1     1    5      19.7   0.4754
  374   14    8    1     1    6      67.7   0.2377
  375   14    8    2     0    5      18.2   0.6667
  376   14    8    2     0    6      18.2   0.3333
  377   14    9    1     0    1    1808.8   0.0890
  378   14    9    1     1    5      21.1   1.0694
  379   14    9    2     0    5      19.7   1.0000
  380   14   10    1     0    1    1808.4   0.0768
  381   14   10    1     1    5      74.7   0.4182
  382   14   10    2     0    5      21.1   1.0000
  383   15    1    1     0    1    2013.3   0.0192
  384   15    1    1     0    2    2014.2   0.0385
  385   15    1    1     0    3    2137.5   0.0015
  386   15    1    1     0    4    2137.5   0.0008
  387   15    1    1     1    9     124.1   0.0001
  388   15    1    1     2    9     128.3   0.0001
  389   15    1    1     3    9     132.4   0.0004
  390   15    1    1     4    9     135.9   0.0078
  391   15    1    1     1   12     123.2   0.0003
  392   15    1    1     2   12     127.4   0.0026
  393   15    1    1     3   12     131.5   0.0031
  394   15    1    1     4   12     135.0   0.0276
  395   15    1    1     1   16       7.1   0.0242
  396   15    1    1     2   16       8.4   0.0576
  397   15    1    1     3   16      21.3   0.2750
  398   15    1    1     4   16      34.8   0.0158
  399   15    1    1     1   17      16.3   0.0076

  400   15    1    1     2   17      28.1   0.0115
  401   15    1    1     3   17      41.0   0.0358
  402   15    1    1     4   17      54.5   0.0066
  403   15    1    2     1    9     124.1   0.0001
  404   15    1    2     1   12     123.2   0.0008
  405   15    1    2     1   16       7.1   0.0259
  406   15    1    2     2   16       8.4   0.8689
  407   15    1    2     1   17      16.3   0.0128
  408   15    1    2     2   17      28.1   0.2469
  409   15    1    3     0    9     118.8   0.0002
  410   15    1    3     0   16       5.7   0.0002
  411   15    1    3     1   16       7.1   0.2272
  412   15    1    3     0   17       5.7   0.0001
  413   15    1    3     1   17      16.3   0.2056
  414   15    1    4     0   12     117.8   0.0008
  415   15    1    4     0   16       5.7   0.0006
  416   15    1    4     1   16       7.1   0.4749
  417   15    1    4     0   17       5.7   0.0003
  418   15    1    4     1   17      16.3   0.0750
  419   15    1    5     0   16       5.7   0.6667
  420   15    1    5     0   17       5.7   0.3333
  421   15    2    1     0    1    2027.2   0.0196
  422   15    2    1     0    2    2028.1   0.0392
  423   15    2    1     0    3    2158.2   0.0016
  424   15    2    1     3    5      54.1   0.0001
  425   15    2    1     3    6      55.0   0.0002
  426   15    2    1     1    9     128.3   0.0001
  427   15    2    1     2    9     132.4   0.0002
  428   15    2    1     3    9     135.9   0.0276
  429   15    2    1     0   12     123.2   0.0002
  430   15    2    1     1   12     127.4   0.0017
  431   15    2    1     2   12     131.5   0.0113
  432   15    2    1     3   12     135.0   0.2129
  433   15    2    1     0   16       7.1   0.0002
  434   15    2    1     1   16       8.4   0.0677
  435   15    2    1     2   16      21.3   0.0431
  436   15    2    1     3   16      34.8   0.1006
  437   15    2    2     0    6      57.0   0.0001
  438   15    2    2     1    9     128.3   0.0002
  439   15    2    2     1   12     127.4   0.0053
  440   15    2    2     1   16       8.4   0.0452
  441   15    2    2     2   16      21.3   0.4463
  442   15    2    3     0    9     124.1   0.0003
  443   15    2    3     0   16       7.1   0.0003
  444   15    2    3     1   16       8.4   0.5976
  445   15    2    4     0   12     123.2   0.0056
  446   15    2    4     0   16       7.1   0.0056
  447   15    2    4     1   16       8.4   1.3628
  448   15    2    5     0   16       7.1   1.0000
  449   15    3    1     0    1    2041.3   0.0200
  450   15    3    1     0    2    2042.2   0.0400
  451   15    3    1     0    3    2177.7   0.0008
  452   15    3    1     1    5      55.1   0.0001
  453   15    3    1     2    5      54.1   0.0012
  454   15    3    1     3    5      55.4   0.0009
  455   15    3    1     1    6      56.0   0.0001
  456   15    3    1     2    6      55.0   0.0025
  457   15    3    1     3    6      56.3   0.0019
  458   15    3    1     1    7     208.8   0.0001
  459   15    3    1     1    9     132.4   0.0004
  460   15    3    1     2    9     135.9   0.0822
  461   15    3    1     0   12     127.4   0.0003
  462   15    3    1     1   12     131.5   0.0028
  463   15    3    1     2   12     135.0   0.5723
  464   15    3    1     0   16       8.4   0.0003
  465   15    3    1     1   16      21.3   0.0334
  466   15    3    1     2   16      34.8   0.2507
  467   15    3    2     0    6      57.0   0.0001
  468   15    3    2     1    9     132.4   0.0011
  469   15    3    2     1   12     131.5   0.0192
  470   15    3    2     1   16      21.3   0.0312
  471   15    3    3     0    9     128.3   0.0011
  472   15    3    3     0   16       8.4   0.0011
  473   15    3    3     1   16      21.3   0.1029
  474   15    3    4     0   12     127.4   0.0082
  475   15    3    4     0   16       8.4   0.0082
  476   15    3    4     1   16      21.3   0.7515
  477   15    3    5     0   16       8.4   1.0000
  478   15    4    1     0    1    2054.0   0.0204
  479   15    4    1     0    2    2054.9   0.0408
  480   15    4    1     1    5      54.1   0.0042
  481   15    4    1     2    5      55.4   0.0204
  482   15    4    1     1    6      55.0   0.0084
  483   15    4    1     2    6      56.3   0.0407
  484   15    4    1     0    9     132.4   0.0002
  485   15    4    1     1    9     135.9   0.0158
  486   15    4    1     0   12     131.5   0.0004
  487   15    4    1     1   12     135.0   0.0317
  488   15    4    2     0    5      55.1   0.0028
  489   15    4    2     0    6      56.0   0.0055
  490   15    4    2     0   12     131.5   0.0001
  491   15    4    3     0    9     132.4   0.0108
  492   15    4    4     0   12     131.5   0.0108
  493   15    5    1     0    1    2068.2   0.0208
  494   15    5    1     0    2    2069.2   0.0416
  495   15    5    1     1    5      55.4   0.1154
  496   15    5    1     1    6      56.3   0.2309
  497   15    5    1     0    9     135.9   0.0208
  498   15    5    1     1    9     156.4   0.3068
  499   15    5    1     0   12     135.0   0.0416
  500   15    5    1     1   12     155.5   0.6136
  501   15    5    2     0    5      54.1   0.3333
  502   15    5    2     0    6      55.0   0.6667
  503   15    5    2     0    9     135.9   0.3333
  504   15    5    2     0   12     135.0   0.6667
  505   15    5    3     0    9     135.9   1.0000
  506   15    5    4     0   12     135.0   1.0000
  507   15    6    1     0    1    2078.7   0.0211
  508   15    6    1     0    2    2079.7   0.0423
  509   15    6    1     1    5      50.0   0.1157
  510   15    6    1     1    6      50.0   0.2313
  511   15    6    2     0    5      55.4   0.3333
  512   15    6    2     0    6      56.3   0.6667
  513   15    7    1     0    1    2090.7   0.0288
  514   15    7    1     0    2    2090.7   0.0431
  515   15    7    1     1    5      42.9   0.1648
  516   15    7    1     1    6      42.9   0.2472
  517   15    7    2     0    5      50.0   0.4000
  518   15    7    2     0    6      50.0   0.6000
  519   15    8    1     0    1    2098.9   0.0416
  520   15    8    1     0    2    2098.9   0.0416
  521   15    8    1     1    5      20.0   0.2549
  522   15    8    1     1    6      20.0   0.2549
  523   15    8    2     0    5      42.9   0.5000
  524   15    8    2     0    6      42.9   0.5000
  525   15    9    1     0    1    2090.3   0.0665
  526   15    9    1     0    2    2090.3   0.0333
  527   15    9    1     1    5      21.5   0.4506
  528   15    9    1     1    6      74.2   0.2253
  529   15    9    2     0    5      20.0   0.6667
  530   15    9    2     0    6      20.0   0.3333
  531   15   10    1     0    1    2092.7   0.1279
  532   15   10    1     1    5      22.9   1.0324
  533   15   10    2     0    5      21.5   1.0000
  534   15   11    1     0    1    2091.7   0.1102
  535   15   11    1     1    5      81.0   0.4301
  536   15   11    2     0    5      22.9   1.0000
  537   16    1    1     0    1    2306.7   0.0258
  538   16    1    1     0    2    2307.8   0.0516
  539   16    1    1     0    3    2465.5   0.0023
  540   16    1    1     0    4    2465.5   0.0023
  541   16    1    1     1    9     155.6   0.0001
  542   16    1    1     2    9     160.4   0.0001
  543   16    1    1     3    9     164.7   0.0002
  544   16    1    1     4    9     168.5   0.0001
  545   16    1    1     1   12     154.3   0.0002
  546   16    1    1     2   12     159.2   0.0008
  547   16    1    1     3   12     163.4   0.0007
  548   16    1    1     4   12     167.3   0.0004
  549   16    1    1     1   16       7.3   0.0167
  550   16    1    1     2   16       8.8   0.0323
  551   16    1    1     3   16      10.3   0.3537
  552   16    1    1     4   16      25.4   0.0818
