 ============================================================
      i NZ NE iSLP jSLP iLV jLV        gF     WL(A)   gi   gj
    205  1  1  220  211   3   7 -4.08E-02 3.741E+04 10.0  6.0
    206  1  1  220  211   3   8 -2.09E-02 3.297E+04 10.0  6.0
    207  1  1  220  211   3   9 -1.24E-02 3.039E+04 10.0  6.0
    208  1  1  220  211   4   1  1.30E-01 4.103E+03 10.0  6.0
    209  1  1  220  211   4   2  3.37E-01 1.094E+04 10.0  6.0
    210  1  1  220  211   4   3  8.91E-01 2.626E+04 10.0  6.0
    211  1  1  220  211   4   4  3.75E+00 7.460E+04 10.0  6.0
    212  1  1  220  211   4   5  0.00E+00 1.000E+30 10.0  6.0
    213  1  1  220  211   4   6 -7.02E-01 1.237E+05 10.0  6.0
    214  1  1  220  211   4   7 -1.54E-01 7.502E+04 10.0  6.0
    215  1  1  220  211   4   8 -6.14E-02 5.908E+04 10.0  6.0
    216  1  1  220  211   4   9 -3.17E-02 5.129E+04 10.0  6.0
    217  1  1  220  211   5   1  7.40E-02 3.971E+03 10.0  6.0
    218  1  1  220  211   5   2  1.74E-01 1.005E+04 10.0  6.0
    219  1  1  220  211   5   3  3.75E-01 2.166E+04 10.0  6.0
    220  1  1  220  211   5   4  9.42E-01 4.654E+04 10.0  6.0
    221  1  1  220  211   5   5  3.91E+00 1.237E+05 10.0  6.0
    222  1  1  220  211   5   6  0.00E+00 1.000E+30 10.0  6.0
    223  1  1  220  211   5   7 -9.38E-01 1.906E+05 10.0  6.0
    224  1  1  220  211   5   8 -2.08E-01 1.131E+05 10.0  6.0
    225  1  1  220  211   5   9 -8.36E-02 8.760E+04 10.0  6.0
    226  1  1  220  211   6   1  4.65E-02 3.890E+03 10.0  6.0
    227  1  1  220  211   6   2  1.03E-01 9.549E+03 10.0  6.0
    228  1  1  220  211   6   3  2.00E-01 1.945E+04 10.0  6.0
    229  1  1  220  211   6   4  4.05E-01 3.741E+04 10.0  6.0
    230  1  1  220  211   6   5  9.95E-01 7.502E+04 10.0  6.0
    231  1  1  220  211   6   6  4.11E+00 1.906E+05 10.0  6.0
    232  1  1  220  211   6   7  0.00E+00 1.000E+30 10.0  6.0
    233  1  1  220  211   6   8 -1.18E+00 2.780E+05 10.0  6.0
    234  1  1  220  211   6   9 -2.65E-01 1.621E+05 10.0  6.0
    235  1  1  220  211   7   1  3.13E-02 3.837E+03 10.0  6.0
    236  1  1  220  211   7   2  6.69E-02 9.232E+03 10.0  6.0
    237  1  1  220  211   7   3  1.21E-01 1.818E+04 10.0  6.0
    238  1  1  220  211   7   4  2.19E-01 3.297E+04 10.0  6.0
    239  1  1  220  211   7   5  4.33E-01 5.908E+04 10.0  6.0
    240  1  1  220  211   7   6  1.05E+00 1.131E+05 10.0  6.0
    241  1  1  220  211   7   7  4.33E+00 2.780E+05 10.0  6.0
    242  1  1  220  211   7   8  0.00E+00 1.000E+30 10.0  6.0
    243  1  1  220  211   7   9 -1.44E+00 3.887E+05 10.0  6.0
    244  1  1  220  211   8   1  2.22E-02 3.799E+03 10.0  6.0
    245  1  1  220  211   8   2  4.61E-02 9.017E+03 10.0  6.0
    246  1  1  220  211   8   3  8.00E-02 1.737E+04 10.0  6.0
    247  1  1  220  211   8   4  1.35E-01 3.039E+04 10.0  6.0
    248  1  1  220  211   8   5  2.36E-01 5.129E+04 10.0  6.0
    249  1  1  220  211   8   6  4.59E-01 8.760E+04 10.0  6.0
    250  1  1  220  211   8   7  1.11E+00 1.621E+05 10.0  6.0
    251  1  1  220  211   8   8  4.56E+00 3.887E+05 10.0  6.0
    252  1  1  220  211   8   9  0.00E+00 1.000E+30 10.0  6.0
    253  1  1  220  211   1   1  4.18E+00 6.565E+03 10.0  6.0
    254  1  1  220  211   1   2  0.00E+00 1.000E+30 10.0  6.0
    255  1  1  220  211   1   3 -1.10E-01 1.876E+04 10.0  6.0
    256  1  1  220  211   1   4 -2.21E-02 1.282E+04 10.0  6.0
    257  1  1  220  211   1   5 -8.42E-03 1.094E+04 10.0  6.0
    258  1  1  220  211   1   6 -4.21E-03 1.005E+04 10.0  6.0
    259  1  1  220  211   1   7 -2.45E-03 9.549E+03 10.0  6.0
    260  1  1  220  211   1   8 -1.56E-03 9.232E+03 10.0  6.0
    261  1  1  220  211   1   9 -1.07E-03 9.017E+03 10.0  6.0
    262  1  1  220  211   2   1  7.31E-01 4.863E+03 10.0  6.0
    263  1  1  220  211   2   2  3.71E+00 1.876E+04 10.0  6.0
    264  1  1  220  211   2   3  0.00E+00 1.000E+30 10.0  6.0
    265  1  1  220  211   2   4 -2.78E-01 4.052E+04 10.0  6.0
    266  1  1  220  211   2   5 -5.84E-02 2.626E+04 10.0  6.0
    267  1  1  220  211   2   6 -2.27E-02 2.166E+04 10.0  6.0
    268  1  1  220  211   2   7 -1.15E-02 1.945E+04 10.0  6.0
    269  1  1  220  211   2   8 -6.80E-03 1.818E+04 10.0  6.0
    270  1  1  220  211   2   9 -4.39E-03 1.737E+04 10.0  6.0
    271  1  1  220  211   3   1  2.66E-01 4.342E+03 10.0  6.0
    272  1  1  220  211   3   2  8.35E-01 1.282E+04 10.0  6.0
    273  1  1  220  211   3   3  3.66E+00 4.052E+04 10.0  6.0
    274  1  1  220  211   3   4  0.00E+00 1.000E+30 10.0  6.0
    275  1  1  220  211   3   5 -4.80E-01 7.460E+04 10.0  6.0
    276  1  1  220  211   3   6 -1.03E-01 4.654E+04 10.0  6.0
    277  1  1  220  211   3   7 -4.08E-02 3.741E+04 10.0  6.0
    278  1  1  220  211   3   8 -2.09E-02 3.297E+04 10.0  6.0
    279  1  1  220  211   3   9 -1.24E-02 3.039E+04 10.0  6.0
    280  1  1  220  211   4   1  1.30E-01 4.103E+03 10.0  6.0
    281  1  1  220  211   4   2  3.37E-01 1.094E+04 10.0  6.0
    282  1  1  220  211   4   3  8.91E-01 2.626E+04 10.0  6.0
    283  1  1  220  211   4   4  3.75E+00 7.460E+04 10.0  6.0
    284  1  1  220  211   4   5  0.00E+00 1.000E+30 10.0  6.0
    285  1  1  220  211   4   6 -7.02E-01 1.237E+05 10.0  6.0
    286  1  1  220  211   4   7 -1.54E-01 7.502E+04 10.0  6.0
    287  1  1  220  211   4   8 -6.14E-02 5.908E+04 10.0  6.0
    288  1  1  220  211   4   9 -3.17E-02 5.129E+04 10.0  6.0
    289  1  1  220  211   5   1  7.40E-02 3.971E+03 10.0  6.0
    290  1  1  220  211   5   2  1.74E-01 1.005E+04 10.0  6.0
    291  1  1  220  211   5   3  3.75E-01 2.166E+04 10.0  6.0
    292  1  1  220  211   5   4  9.42E-01 4.654E+04 10.0  6.0
    293  1  1  220  211   5   5  3.91E+00 1.237E+05 10.0  6.0
    294  1  1  220  211   5   6  0.00E+00 1.000E+30 10.0  6.0
    295  1  1  220  211   5   7 -9.38E-01 1.906E+05 10.0  6.0
    296  1  1  220  211   5   8 -2.08E-01 1.131E+05 10.0  6.0
    297  1  1  220  211   5   9 -8.36E-02 8.760E+04 10.0  6.0
    298  1  1  220  211   6   1  4.65E-02 3.890E+03 10.0  6.0
    299  1  1  220  211   6   2  1.03E-01 9.549E+03 10.0  6.0
    300  1  1  220  211   6   3  2.00E-01 1.945E+04 10.0  6.0
    301  1  1  220  211   6   4  4.05E-01 3.741E+04 10.0  6.0
    302  1  1  220  211   6   5  9.95E-01 7.502E+04 10.0  6.0
    303  1  1  220  211   6   6  4.11E+00 1.906E+05 10.0  6.0
    304  1  1  220  211   6   7  0.00E+00 1.000E+30 10.0  6.0
